season_name,id,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,points_per_game,player_id,first_name,second_name,birth_date
2019/20,,39,656,3,1,2,9,0,0,0,1,0,0,5,129,162.8,36.6,226.0,42.5,0,0,0.00,0.00,0.00,0.00,,19,Gabriel,Martinelli Silva,2001-06-18
2020/21,,36,582,2,1,4,3,0,0,0,0,0,0,0,107,142.6,133.8,300.0,57.5,0,0,0.00,0.00,0.00,0.00,,19,Gabriel,Martinelli Silva,2001-06-18
2021/22,,110,1855,6,7,7,25,0,0,0,1,1,0,6,345,475.8,483.3,786.0,174.7,0,0,0.00,0.00,0.00,0.00,,19,Gabriel,Martinelli Silva,2001-06-18
2022/23,,198,2789,15,9,14,33,0,0,0,3,0,0,18,648,844.2,838.1,1300.0,298.1,0,34,9.15,6.98,16.13,36.16,,19,Gabriel,Martinelli Silva,2001-06-18
2023/24,,118,2010,6,5,10,23,0,0,0,1,0,0,6,404,500.4,717.1,795.0,200.8,0,24,6.36,5.18,11.53,14.88,,19,Gabriel,Martinelli Silva,2001-06-18
2024/25,,125,2284,8,4,10,25,0,0,0,1,0,0,6,422,559.8,587.8,912.0,206.1,0,25,7.13,4.46,11.59,26.22,,19,Gabriel,Martinelli Silva,2001-06-18
2019/20,,104,2004,5,5,4,34,0,0,0,0,0,0,9,352,411.4,585.4,540.0,153.2,0,0,0.00,0.00,0.00,0.00,,20,Leandro,Trossard,1994-12-04
2020/21,,132,2602,5,6,12,30,0,0,0,2,0,0,15,406,543.4,725.1,759.0,202.8,0,0,0.00,0.00,0.00,0.00,,20,Leandro,Trossard,1994-12-04
2021/22,,141,2803,8,4,11,33,0,0,0,2,0,0,16,465,627.6,708.3,1020.0,235.4,0,0,0.00,0.00,0.00,0.00,,20,Leandro,Trossard,1994-12-04
2022/23,,154,2237,8,13,8,38,0,0,0,1,0,0,8,494,666.0,711.4,875.0,225.2,0,26,6.37,6.02,12.39,30.79,,20,Leandro,Trossard,1994-12-04
2023/24,,138,1633,12,2,12,10,0,0,0,2,0,0,11,398,563.6,384.7,746.0,169.5,0,18,8.29,2.96,11.25,13.46,,20,Leandro,Trossard,1994-12-04
2024/25,,152,2546,8,8,11,27,0,0,0,2,1,0,18,561,609.0,617.6,798.0,202.1,0,28,6.74,4.12,10.86,24.76,,20,Leandro,Trossard,1994-12-04
2016/17,,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.3,0.0,0.1,0,0,0.00,0.00,0.00,0.00,,21,Declan,Rice,1999-01-14
2017/18,,41,1421,0,0,3,29,0,0,0,1,0,0,0,280,310.4,35.7,29.0,37.5,0,0,0.00,0.00,0.00,0.00,,21,Declan,Rice,1999-01-14
2018/19,,92,3003,2,0,6,47,0,0,0,4,0,0,9,586,584.4,174.2,213.0,97.1,0,0,0.00,0.00,0.00,0.00,,21,Declan,Rice,1999-01-14
2019/20,,105,3420,1,5,7,62,0,0,0,6,0,0,8,616,715.8,350.8,259.0,132.5,0,0,0.00,0.00,0.00,0.00,,21,Declan,Rice,1999-01-14
2020/21,,86,2880,2,1,11,37,0,0,1,2,0,0,2,520,561.2,343.8,303.0,121.3,0,0,0.00,0.00,0.00,0.00,,21,Declan,Rice,1999-01-14
2021/22,,95,3178,1,4,8,49,0,0,0,8,0,0,7,595,773.4,401.8,288.0,146.8,0,0,0.00,0.00,0.00,0.00,,21,Declan,Rice,1999-01-14
2022/23,,116,3272,4,3,9,50,0,0,1,5,0,0,12,622,789.0,539.3,226.0,155.5,0,36,2.40,1.85,4.25,48.28,,21,Declan,Rice,1999-01-14
2023/24,,165,3225,7,9,17,28,0,0,0,5,0,0,17,744,959.4,745.3,451.0,215.9,0,37,3.53,5.09,8.62,27.08,,21,Declan,Rice,1999-01-14
2024/25,,127,2823,4,7,11,29,0,0,0,5,1,0,17,627,733.0,959.6,399.0,208.8,0,33,3.51,5.64,9.14,27.13,,21,Declan,Rice,1999-01-14
2017/18,,49,1337,1,1,3,18,0,0,0,4,0,0,4,271,374.8,236.7,156.0,76.9,0,0,0.00,0.00,0.00,0.00,,22,Mikel,Merino Zazón,1996-06-22
2018/19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,22,Mikel,Merino Zazón,1996-06-22
2024/25,,92,1575,7,2,4,17,0,0,0,2,1,0,8,326,456.8,265.8,511.0,123.3,0,17,5.75,1.18,6.93,15.71,,22,Mikel,Merino Zazón,1996-06-22
2022/23,,40,500,1,2,2,5,0,0,0,0,0,0,2,134,116.0,180.6,123.0,41.5,0,3,0.86,1.39,2.25,5.28,,23,Fábio,Ferreira Vieira,2000-05-30
2023/24,,24,290,1,3,1,2,0,0,0,0,1,0,0,67,82.8,88.8,85.0,25.5,0,2,1.25,0.64,1.89,1.83,,23,Fábio,Ferreira Vieira,2000-05-30
2024/25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,23,Fábio,Ferreira Vieira,2000-05-30
2021/22,,101,3054,3,4,8,51,0,0,0,8,0,0,5,502,694.8,409.8,434.0,154.3,0,0,0.00,0.00,0.00,0.00,,24,Christian,Nørgaard,1994-03-10
2022/23,,71,1763,1,6,6,23,0,0,0,6,0,0,6,309,379.2,173.7,269.0,82.3,0,21,1.64,1.74,3.38,25.13,,24,Christian,Nørgaard,1994-03-10
2023/24,,74,2504,2,1,6,51,0,0,0,8,0,0,3,414,501.8,396.2,316.0,121.8,0,30,3.61,2.44,6.05,43.31,,24,Christian,Nørgaard,1994-03-10
2024/25,,107,2820,5,5,6,45,0,0,0,8,1,0,7,580,735.4,333.0,409.0,147.9,0,34,4.23,1.38,5.61,44.54,,24,Christian,Nørgaard,1994-03-10
2022/23,,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,25,Ethan,Nwaneri,2007-03-21
2023/24,,1,13,0,0,0,0,0,0,0,0,0,0,0,3,2.0,12.3,4.0,1.8,0,0,0.00,0.05,0.05,0.13,,25,Ethan,Nwaneri,2007-03-21
2024/25,,66,882,4,2,4,4,0,0,0,1,0,0,4,251,293.2,282.8,255.0,83.0,0,11,1.19,1.78,2.97,5.38,,25,Ethan,Nwaneri,2007-03-21
2017/18,,5,144,0,0,0,3,0,0,0,0,0,0,0,23,12.0,29.7,11.0,5.3,0,0,0.00,0.00,0.00,0.00,,27,Reiss,Nelson,1999-12-10
2018/19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,27,Reiss,Nelson,1999-12-10
2019/20,,30,622,1,1,2,7,0,0,0,1,0,0,0,105,110.4,148.3,185.0,44.4,0,0,0.00,0.00,0.00,0.00,,27,Reiss,Nelson,1999-12-10
2020/21,,2,70,0,0,0,0,0,0,0,0,0,0,0,2,4.2,9.7,10.0,2.4,0,0,0.00,0.00,0.00,0.00,,27,Reiss,Nelson,1999-12-10
2021/22,,1,19,0,0,0,1,0,0,0,0,0,0,0,4,4.0,11.6,20.0,3.6,0,0,0.00,0.00,0.00,0.00,,27,Reiss,Nelson,1999-12-10
2022/23,,42,202,3,3,1,3,0,0,0,0,0,0,5,127,179.8,121.9,178.0,48.0,0,0,1.09,0.99,2.08,2.16,,27,Reiss,Nelson,1999-12-10
2023/24,,16,256,0,0,1,1,0,0,0,1,0,0,0,58,42.8,87.7,39.0,16.9,0,1,0.18,0.43,0.61,2.18,,27,Reiss,Nelson,1999-12-10
2024/25,,27,483,1,1,1,9,0,0,0,1,0,0,2,143,131.6,223.9,195.0,55.1,0,5,1.07,0.96,2.03,6.13,,27,Reiss,Nelson,1999-12-10
2024/25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,28,Ismeal,Kabia,
2021/22,,32,1129,0,0,7,11,0,0,0,5,0,0,0,173,192.4,263.4,108.0,56.3,0,0,0.00,0.00,0.00,0.00,,29,Albert,Sambi Lokonga,1999-10-22
2022/23,,23,728,0,0,2,8,0,0,0,2,0,0,0,129,98.4,57.2,20.0,17.6,0,8,0.17,0.18,0.35,8.12,,29,Albert,Sambi Lokonga,1999-10-22
2023/24,,47,1304,1,3,2,31,0,0,0,4,0,0,4,231,289.8,154.9,56.0,49.9,0,16,0.55,0.79,1.34,25.20,,29,Albert,Sambi Lokonga,1999-10-22
2020/21,,91,1512,4,6,8,15,0,0,0,2,0,0,3,268,325.0,307.7,514.0,114.2,0,0,0.00,0.00,0.00,0.00,,30,Kai,Havertz,1999-06-11
2021/22,,112,1802,8,4,10,18,0,0,0,3,0,0,5,271,461.2,329.5,939.0,171.9,0,0,0.00,0.00,0.00,0.00,,30,Kai,Havertz,1999-06-11
2022/23,,102,2565,7,1,9,31,0,0,0,5,0,0,13,301,476.4,536.6,1014.0,202.5,0,30,11.58,2.75,14.33,38.25,,30,Kai,Havertz,1999-06-11
2023/24,,180,2627,13,10,16,22,0,0,0,11,0,0,15,515,763.2,613.4,1027.0,240.2,0,30,12.36,3.88,16.23,21.03,,30,Kai,Havertz,1999-06-11
2024/25,,97,1872,9,3,7,20,0,0,0,5,0,0,14,343,467.6,269.0,711.0,144.8,0,21,9.53,1.65,11.18,19.32,,30,Kai,Havertz,1999-06-11
2016/17,,67,651,7,4,3,5,0,0,0,2,0,0,12,258,335.8,165.9,436.0,92.9,0,0,0.00,0.00,0.00,0.00,,31,Gabriel,Fernando de Jesus,1997-04-03
2017/18,,126,1660,13,7,9,12,0,0,2,6,0,0,18,473,603.6,360.3,1089.0,204.9,0,0,0.00,0.00,0.00,0.00,,31,Gabriel,Fernando de Jesus,1997-04-03
2018/19,,79,1017,7,3,2,11,0,0,0,1,0,0,7,259,395.2,300.5,864.0,156.3,0,0,0.00,0.00,0.00,0.00,,31,Gabriel,Fernando de Jesus,1997-04-03
2019/20,,146,2018,14,8,12,14,0,0,1,3,0,0,17,535,757.6,447.7,1620.0,282.1,0,0,0.00,0.00,0.00,0.00,,31,Gabriel,Fernando de Jesus,1997-04-03
2020/21,,115,2056,9,5,11,17,0,0,0,2,0,0,16,453,501.0,467.5,931.0,190.0,0,0,0.00,0.00,0.00,0.00,,31,Gabriel,Fernando de Jesus,1997-04-03
2021/22,,120,1871,8,8,11,15,0,0,0,1,0,0,16,488,567.4,530.9,1126.0,222.3,0,0,0.00,0.00,0.00,0.00,,31,Gabriel,Fernando de Jesus,1997-04-03
2022/23,,125,2064,11,7,9,23,0,0,0,6,0,0,17,401,660.6,427.8,1331.0,241.9,0,24,14.24,2.91,17.15,23.15,,31,Gabriel,Fernando de Jesus,1997-04-03
2023/24,,85,1470,4,7,11,11,0,0,0,6,0,0,10,271,364.8,403.0,756.0,152.7,0,17,6.27,3.26,9.53,11.67,,31,Gabriel,Fernando de Jesus,1997-04-03
2024/25,,42,600,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255.0,52.6,0,6,3.05,0.52,3.57,5.82,,31,Gabriel,Fernando de Jesus,1997-04-03
2012/13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,32,Emiliano,Martínez Romero,1992-09-02
2014/15,,14,302,0,0,2,4,0,0,0,0,0,4,0,57,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,32,Emiliano,Martínez Romero,1992-09-02
2016/17,,8,180,0,0,1,3,0,0,0,0,0,5,0,35,30.6,0.0,0.0,3.1,0,0,0.00,0.00,0.00,0.00,,32,Emiliano,Martínez Romero,1992-09-02
2017/18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,32,Emiliano,Martínez Romero,1992-09-02
2018/19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,32,Emiliano,Martínez Romero,1992-09-02
2019/20,,33,770,0,0,3,9,0,0,0,2,0,34,1,169,256.8,0.0,0.0,25.8,0,0,0.00,0.00,0.00,0.00,,32,Emiliano,Martínez Romero,1992-09-02
2020/21,,186,3420,0,0,15,46,0,1,0,1,0,142,27,825,1067.2,20.0,0.0,108.5,0,0,0.00,0.00,0.00,0.00,,32,Emiliano,Martínez Romero,1992-09-02
2021/22,,129,3240,0,0,11,48,0,1,0,4,0,95,7,651,755.8,0.0,0.0,75.4,0,0,0.00,0.00,0.00,0.00,,32,Emiliano,Martínez Romero,1992-09-02
2022/23,,135,3139,0,0,11,38,1,1,0,7,0,98,15,678,835.2,23.0,0.0,85.7,0,36,0.00,0.21,0.21,43.46,,32,Emiliano,Martínez Romero,1992-09-02
2023/24,,115,3015,0,0,8,48,2,0,0,4,0,95,19,640,802.0,20.0,0.0,82.2,0,34,0.00,0.01,0.01,49.87,,32,Emiliano,Martínez Romero,1992-09-02
2024/25,,111,3195,0,0,8,47,0,1,0,5,1,100,6,457,839.6,20.0,0.0,86.0,0,37,0.00,0.02,0.02,44.99,,32,Emiliano,Martínez Romero,1992-09-02
2023/24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,34,Joe,Gauci,2000-07-04
2024/25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,34,Joe,Gauci,2000-07-04
2021/22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,35,Filip,Marschall,2003-04-24
2022/23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,35,Filip,Marschall,2003-04-24
2023/24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,35,Filip,Marschall,2003-04-24
2024/25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,,35,Filip,Marschall,2003-04-24
2020/21,,89,2373,0,2,11,35,0,0,0,6,1,0,8,468,520.8,352.9,110.0,98.7,0,0,0.00,0.00,0.00,0.00,,36,Matty,Cash,1997-08-07
2021/22,,147,3377,4,3,13,50,0,0,0,8,0,0,11,623,754.8,432.1,534.0,172.1,0,0,0.00,0.00,0.00,0.00,,36,Matty,Cash,1997-08-07
2022/23,,57,1817,0,2,4,29,0,0,0,4,0,0,3,311,303.0,178.3,67.0,54.9,0,20,0.20,0.95,1.15,27.14,,36,Matty,Cash,1997-08-07
2023/24,,64,2138,2,2,3,36,1,0,0,8,0,0,4,337,465.2,231.8,378.0,107.1,0,23,4.41,2.47,6.88,36.78,,36,Matty,Cash,1997-08-07
